"id","submitdate","lastpage","startlanguage","startdate","datestamp","ipaddr","refurl","M1","M2","M3","M3[other]","M4","M5","M6","I1","Truetemp","ControlTruetemp","TruetempKnow","I2","Coinflip","ControlCoinflip","CoinflipKnow","interviewtime","groupTime8106","M1Time","M2Time","M3Time","M4Time","M5Time","M6Time","groupTime8109","I1Time","groupTime8110","TruetempTime","ControlTruetempTime","TruetempKnowTime","groupTime8108","I2Time","groupTime8107","CoinflipTime","ControlCoinflipTime","CoinflipKnowTime"
"6","2018-03-20 13:00:21","5","en","2018-03-20 12:54:27","2018-03-20 13:00:21","4.35.253.10","","Male","1990","Some College","","No","","Yes","","","False","Disagree","","","False","Neutral","355.9","31","","","","","","","7.98","","127.24","","","","6.71","","182.97","","",""
"7","2018-03-20 12:56:25","5","en","2018-03-20 12:54:49","2018-03-20 12:56:25","170.142.177.250","","Female","1983","Master's degree","","Yes","I have taken some philosophy classes","Yes","","","True","Strongly agree","","","True","Strongly agree","97.7","15.6","","","","","","","5.09","","36.23","","","","4.14","","36.64","","",""
"8","2018-03-20 13:14:18","5","en","2018-03-20 13:12:01","2018-03-20 13:14:17","149.254.248.107","","Male","1976","Some College","","No","","Yes","","","True","Disagree","","","True","Strongly disagree","138.33","27.12","","","","","","","6.68","","63.14","","","","5.4","","35.99","","",""
"9","2018-03-20 13:14:28","5","en","2018-03-20 13:12:41","2018-03-20 13:14:28","5.2.123.218","","Female","1988","Bachelor's degree","","No","","No","","","True","Agree","","","True","Disagree","107.21","13.51","","","","","","","5.12","","56.86","","","","3.07","","28.65","","",""
"10","2018-03-20 13:21:55","5","en","2018-03-20 13:13:07","2018-03-20 13:21:55","98.166.2.231","","Male","1990","Master's degree","","No","","Yes","","","True","Neutral","","","True","Strongly disagree","529.33","29.68","","","","","","","50.14","","259.57","","","","10.48","","179.46","","",""
"11","2018-03-20 13:15:20","5","en","2018-03-20 13:13:29","2018-03-20 13:15:20","89.197.101.90","","Female","1984","Bachelor's degree","","No","","Yes","","","True","Disagree","","","False","Strongly disagree","114.74","15.78","","","","","","","3.77","","67.81","","","","3.68","","23.7","","",""
"12","2018-03-20 13:16:28","5","en","2018-03-20 13:13:40","2018-03-20 13:16:28","76.182.157.123","","Male","1991","Some College","","Yes","I have taken some philosophy classes","Yes","","","True","Neutral","","","True","Disagree","170.8","30.2","","","","","","","10.68","","74.41","","","","4.56","","50.95","","",""
"13","2018-03-20 13:16:50","5","en","2018-03-20 13:13:40","2018-03-20 13:16:50","70.127.186.94","","Male","1983","Bachelor's degree","","No","","Yes","","","True","Strongly agree","","","True","Disagree","191.74","24.87","","","","","","","7.76","","71.05","","","","25.64","","62.42","","",""
"14","2018-03-20 13:15:23","5","en","2018-03-20 13:13:48","2018-03-20 13:15:23","73.85.22.85","","Female","1988","Master's degree","","No","","Yes","","","True","Strongly agree","","","True","Neutral","96.85","19.33","","","","","","","4.56","","37.63","","","","3.54","","31.79","","",""
"15","2018-03-20 13:16:09","5","en","2018-03-20 13:14:00","2018-03-20 13:16:09","86.138.204.73","","Male","1959","Bachelor's degree","","No","","Yes","","","True","Neutral","","","True","Strongly disagree","130.86","28.07","","","","","","","5.1","","61.21","","","","5.51","","30.97","","",""
"16","2018-03-20 13:21:10","5","en","2018-03-20 13:14:19","2018-03-20 13:21:10","67.142.112.69","","Male","1955","Some College","","No","","Yes","","","True","Disagree","","","True","Strongly disagree","413.38","114.37","","","","","","","112.58","","91.07","","","","15.41","","79.95","","",""
"17","2018-03-20 13:17:25","5","en","2018-03-20 13:14:26","2018-03-20 13:17:25","99.126.113.59","","Female","1983","Bachelor's degree","","Yes","I have taken some philosophy classes","Yes","","","True","Neutral","","","True","Disagree","181.67","25.98","","","","","","","9.65","","94.86","","","","6.82","","44.36","","",""
"18","2018-03-20 13:15:43","5","en","2018-03-20 13:14:33","2018-03-20 13:15:43","81.132.71.85","","Female","1968","Some College","","No","","Yes","","","True","Agree","","","True","Agree","71.94","15.11","","","","","","","4.36","","24.89","","","","4.3","","23.28","","",""
"19","2018-03-20 13:19:07","5","en","2018-03-20 13:14:35","2018-03-20 13:19:07","86.188.81.53","","Female","1972","Other","Level 2 Pet Nutrition Diploma","No","","Yes","","","True","Disagree","","","True","Disagree","273.23","97.65","","","","","","","12.14","","107.9","","","","10.07","","45.47","","",""
"20","2018-03-20 13:16:45","5","en","2018-03-20 13:15:04","2018-03-20 13:16:45","173.48.124.105","","Male","1997","Bachelor's degree","","No","","Yes","","","True","Agree","","","True","Strongly disagree","102.18","25.86","","","","","","","7.07","","32.65","","","","4.26","","32.34","","",""
"21","2018-03-20 13:18:43","5","en","2018-03-20 13:15:56","2018-03-20 13:18:43","90.206.170.103","","Male","1969","High School/GED","","No","","Yes","","","True","Strongly agree","","","True","Strongly disagree","169.82","37.91","","","","","","","12.34","","70.32","","","","7.51","","41.74","","",""
"22","2018-03-20 13:18:12","5","en","2018-03-20 13:16:22","2018-03-20 13:18:12","74.102.15.239","","Female","1976","Advanced Graduate work or Doctoral degree","","Yes","I have taken some philosophy classes","No","","","True","Strongly agree","","","True","Strongly disagree","110.58","26.02","","","","","","","6.82","","39","","","","4.4","","34.34","","",""
"23","2018-03-20 13:47:49","5","en","2018-03-20 13:45:19","2018-03-20 13:47:49","216.118.223.9","","Male","1991","Some College","","No","","Yes","","","True","Neutral","","","True","Neutral","152.56","49.6","","","","","","","7.81","","59.5","","","","4.2","","31.45","","",""
"24","2018-03-20 13:50:13","5","en","2018-03-20 13:45:57","2018-03-20 13:50:13","67.236.52.32","","Female","1973","Bachelor's degree","","Yes","I have taken some philosophy classes","Yes","","","True","Disagree","","","True","Agree","259.38","26.85","","","","","","","26.81","","145.84","","","","5.63","","54.25","","",""
"25","2018-03-20 13:47:03","5","en","2018-03-20 13:46:03","2018-03-20 13:47:03","71.220.59.186","","Male","1967","Bachelor's degree","","Yes","I have taken some philosophy classes","Yes","","","True","Strongly agree","","","True","Agree","62.57","21.44","","","","","","","3.38","","19.35","","","","2.83","","15.57","","",""
"26","2018-03-20 13:48:00","5","en","2018-03-20 13:46:27","2018-03-20 13:48:00","158.135.235.182","","Male","1998","Some College","","No","","Yes","","","True","Agree","","","True","Disagree","94.79","14.01","","","","","","","3.58","","48.83","","","","3.67","","24.7","","",""
"27","2018-03-20 13:52:36","5","en","2018-03-20 13:47:23","2018-03-20 13:52:36","92.17.250.133","","Male","1960","Bachelor's degree","","Yes","I have taken some philosophy classes","Yes","","","True","Strongly disagree","","","True","Strongly disagree","315.35","33.42","","","","","","","9.74","","199.29","","","","7.37","","65.53","","",""
"28","2018-03-20 13:51:27","5","en","2018-03-20 13:48:40","2018-03-20 13:51:27","86.141.178.143","","Female","1981","Bachelor's degree","","No","","Yes","","","True","Agree","","","True","Disagree","168.81","43.41","","","","","","","12.22","","66.5","","","","6.32","","40.36","","",""
"29","2018-03-20 14:12:47","5","en","2018-03-20 14:10:57","2018-03-20 14:12:47","170.65.34.36","","Female","1988","Other","associates","Yes","I have taken some philosophy classes","Yes","","","True","Agree","","","True","Neutral","112.48","43.72","","","","","","","6.02","","35.27","","","","4.49","","22.98","","",""
"30","2018-03-20 14:13:03","5","en","2018-03-20 14:11:10","2018-03-20 14:13:03","74.69.244.188","","Female","1987","Some College","","No","","Yes","","","True","Strongly agree","","","True","Neutral","115.65","16.26","","","","","","","6.08","","63.81","","","","4.63","","24.87","","",""
"31","2018-03-20 14:12:55","5","en","2018-03-20 14:11:24","2018-03-20 14:12:55","81.97.73.146","","Female","1991","Bachelor's degree","","Yes","I have taken some philosophy classes","Yes","","","True","Neutral","","","True","Neutral","92.84","17.84","","","","","","","4.3","","38.09","","","","2.09","","30.52","","",""
"32","2018-03-20 14:14:46","5","en","2018-03-20 14:13:10","2018-03-20 14:14:46","86.177.18.226","","Male","1987","Some College","","Yes","I have taken some philosophy classes","Yes","","","True","Strongly agree","","","True","Strongly disagree","96.52","19.05","","","","","","","3.66","","42.02","","","","3.99","","27.8","","",""
"33","2018-03-20 14:14:48","5","en","2018-03-20 14:13:11","2018-03-20 14:14:48","71.229.123.166","","Female","1962","Bachelor's degree","","No","","Yes","","","True","Strongly agree","","","True","Agree","99.85","26.5","","","","","","","7.49","","30.51","","","","4.65","","30.7","","",""
"34","2018-03-20 14:17:30","5","en","2018-03-20 14:14:02","2018-03-20 14:17:30","107.170.233.57","","Female","1998","Bachelor's degree","","No","","Yes","","","True","Strongly agree","","","True","Strongly agree","210.7","37.77","","","","","","","11.43","","87.83","","","","5.28","","68.39","","",""
"35","2018-03-20 14:19:43","5","en","2018-03-20 14:14:34","2018-03-20 14:19:43","162.236.216.245","","Female","1990","Bachelor's degree","","No","","Yes","","","True","Strongly agree","","","True","Neutral","311.01","116.93","","","","","","","26.91","","102.14","","","","8.31","","56.72","","",""
"36","2018-03-20 14:28:02","5","en","2018-03-20 14:26:18","2018-03-20 14:28:02","109.180.112.102","","Male","1986","Some College","","No","","Yes","","","True","Agree","","","True","Neutral","104.6","21.6","","","","","","","5.78","","44.05","","","","3.53","","29.64","","",""
"37","2018-03-20 14:28:57","5","en","2018-03-20 14:26:52","2018-03-20 14:28:57","86.0.105.205","","Female","1985","Some College","","No","","Yes","","","True","Agree","","","True","Strongly disagree","126.51","32.84","","","","","","","8.93","","47.06","","","","3.42","","34.26","","",""
"38","2018-03-20 14:34:28","5","en","2018-03-20 14:32:33","2018-03-20 14:34:28","81.136.104.168","","Male","1952","Bachelor's degree","","Yes","I have taken some philosophy classes","Yes","","","True","Strongly agree","","","True","Agree","116.1","29.04","","","","","","","7.16","","33.02","","","","3.13","","43.75","","",""
"39","2018-03-20 14:34:34","5","en","2018-03-20 14:33:22","2018-03-20 14:34:34","81.96.109.135","","Female","1983","Some College","","No","","Yes","","","True","Disagree","","","True","Strongly disagree","73.08","19.91","","","","","","","3.94","","26.42","","","","3.37","","19.44","","",""
"40","2018-03-20 14:36:16","5","en","2018-03-20 14:33:59","2018-03-20 14:36:16","50.253.223.237","","Female","1987","Some College","","Yes","I have taken some philosophy classes","Yes","","","True","Agree","","","True","Neutral","139.3","21.51","","","","","","","29.08","","23.35","","","","8.55","","56.81","","",""
"41","2018-03-20 14:44:41","5","en","2018-03-20 14:43:34","2018-03-20 14:44:41","68.235.37.84","","Female","1997","Bachelor's degree","","No","","Yes","","","True","Strongly agree","","","True","Strongly agree","68.52","27.19","","","","","","","3.04","","17.72","","","","3.64","","16.93","","",""
"42","2018-03-20 14:49:32","5","en","2018-03-20 14:47:57","2018-03-20 14:49:32","104.35.37.67","","Female","1999","Some College","","No","","Yes","","","True","Strongly agree","","","True","Disagree","97.14","18.73","","","","","","","8.64","","33.03","","","","4.18","","32.56","","",""
"43","2018-03-20 14:50:47","5","en","2018-03-20 14:49:04","2018-03-20 14:50:47","109.152.61.227","","Female","1995","Bachelor's degree","","No","","Yes","","","True","Disagree","","","True","Strongly disagree","104.61","14.15","","","","","","","6.11","","47.74","","","","3.59","","33.02","","",""
"44","2018-03-20 14:52:20","5","en","2018-03-20 14:50:03","2018-03-20 14:52:20","92.29.143.45","","Female","1999","Some College","","No","","Yes","","","True","Neutral","","","True","Strongly disagree","139.02","34.65","","","","","","","7.29","","50.46","","","","4.01","","42.61","","",""
"45","2018-03-20 14:58:41","5","en","2018-03-20 14:56:43","2018-03-20 14:58:41","50.88.88.162","","Male","1961","Some College","","Yes","I have taken some philosophy classes","Yes","","","True","Disagree","","","True","Disagree","120.17","30.82","","","","","","","7.65","","41.11","","","","4.49","","36.1","","",""
"46","2018-03-20 14:59:46","5","en","2018-03-20 14:57:21","2018-03-20 14:59:46","152.78.240.252","","Female","1977","Some College","","No","","No","","","True","Agree","","","True","Disagree","147.5","19.89","","","","","","","4.76","","68.32","","","","3.72","","50.81","","",""
"47","2018-03-20 15:00:30","5","en","2018-03-20 14:57:42","2018-03-20 15:00:30","107.77.104.123","","Male","1964","Bachelor's degree","","No","","Yes","","","True","Disagree","","","True","Disagree","169.88","17.28","","","","","","","7.96","","89.31","","","","5.48","","49.85","","",""
"48","2018-03-20 15:13:21","5","en","2018-03-20 15:12:07","2018-03-20 15:13:21","79.69.177.175","","Female","1995","Bachelor's degree","","No","","Yes","","","True","Disagree","","","True","Strongly disagree","75.31","11.25","","","","","","","4.15","","35.41","","","","3.21","","21.29","","",""
"49","2018-03-20 15:18:06","5","en","2018-03-20 15:13:11","2018-03-20 15:18:06","73.108.19.178","","Female","1980","Bachelor's degree","","Yes","I have taken some philosophy classes","Yes","","","True","Disagree","","","True","Strongly disagree","297.51","167.52","","","","","","","5.65","","59.73","","","","3.78","","60.83","","",""
"50","2018-03-20 15:15:12","5","en","2018-03-20 15:13:26","2018-03-20 15:15:12","79.74.36.203","","Female","1964","Bachelor's degree","","No","","Yes","","","True","Agree","","","True","Agree","109","25.13","","","","","","","13.4","","38.82","","","","4.88","","26.77","","",""
"51","2018-03-20 15:15:52","5","en","2018-03-20 15:13:42","2018-03-20 15:15:52","76.173.50.125","","Female","1977","Bachelor's degree","","Yes","I have taken some philosophy classes","No","","","True","Agree","","","True","Neutral","130.12","38.3","","","","","","","7.92","","47.12","","","","7.67","","29.11","","",""
"52","2018-03-20 15:16:33","5","en","2018-03-20 15:14:10","2018-03-20 15:16:33","96.83.42.210","","Male","1990","Bachelor's degree","","No","","Yes","","","True","Neutral","","","True","Strongly disagree","143.81","22.88","","","","","","","4.59","","56.68","","","","5.25","","54.41","","",""
"53","2018-03-20 15:16:42","5","en","2018-03-20 15:14:33","2018-03-20 15:16:42","147.134.92.59","","Female","1998","Other","Currently in Undergraduate studies","Yes","I have taken some philosophy classes","Yes","","","True","Agree","","","True","Disagree","129.5","43.56","","","","","","","4.2","","42.96","","","","12.28","","26.5","","",""
"54","2018-03-20 15:17:10","5","en","2018-03-20 15:15:14","2018-03-20 15:17:10","82.22.66.126","","Male","1992","Master's degree","","No","","Yes","","","True","Disagree","","","True","Disagree","116.03","16.02","","","","","","","6.56","","49.45","","","","5.56","","38.44","","",""
"55","2018-03-20 15:17:54","5","en","2018-03-20 15:15:34","2018-03-20 15:17:54","72.187.166.0","","Female","1949","Some College","","No","","Yes","","","True","Agree","","","True","Strongly disagree","141.65","26.98","","","","","","","7.31","","61.48","","","","5.72","","40.16","","",""
"56","2018-03-20 15:17:56","5","en","2018-03-20 15:16:03","2018-03-20 15:17:56","108.217.71.159","","Female","1994","Other","Associate in Science","No","","Yes","","","True","Agree","","","True","Disagree","113.05","50.09","","","","","","","3.86","","33.2","","","","3.8","","22.1","","",""
"57","2018-03-20 16:01:44","5","en","2018-03-20 15:59:36","2018-03-20 16:01:44","213.205.242.175","","Male","1995","Some College","","No","","Yes","","","True","Strongly agree","","","True","Strongly disagree","129.39","26.8","","","","","","","4.94","","48.09","","","","3.24","","46.32","","",""
"58","2018-03-20 16:18:10","5","en","2018-03-20 16:15:40","2018-03-20 16:18:10","94.101.160.5","","Male","1969","Some College","","No","","Yes","","","True","Strongly disagree","","","True","Agree","150.99","14.01","","","","","","","3.59","","79.7","","","","4.02","","49.67","","",""
"59","2018-03-20 16:36:45","5","en","2018-03-20 16:35:10","2018-03-20 16:36:45","173.81.63.117","","Male","1977","Some College","","No","","Yes","","","False","Neutral","","","True","Agree","96.93","18.61","","","","","","","5.27","","44.19","","","","3.15","","25.71","","",""
"60","2018-03-20 17:40:34","5","en","2018-03-20 17:38:36","2018-03-20 17:40:34","92.5.248.243","","Male","1964","Master's degree","","No","","Yes","","","True","Disagree","","","True","Strongly disagree","119.26","24.14","","","","","","","7.36","","55.83","","","","5.38","","26.55","","",""

