"id","submitdate","lastpage","startlanguage","startdate","datestamp","ipaddr","refurl","M1","M2","M3","M3[other]","M4","M5","M6","I1","Truetemp","ControlTruetemp","TruetempKnow","I2","Chemist","ControlChemist","ChemistKnow","interviewtime","groupTime8116","M1Time","M2Time","M3Time","M4Time","M5Time","M6Time","groupTime8119","I1Time","groupTime8120","TruetempTime","ControlTruetempTime","TruetempKnowTime","groupTime8118","I2Time","groupTime8121","ChemistTime","ControlChemistTime","ChemistKnowTime"
"6","2018-03-20 12:57:26","5","en","2018-03-20 12:55:27","2018-03-20 12:57:26","67.143.192.24","","Female","1978","Bachelor's degree","","No","","Yes","","","True","Agree","","","True","Agree","119.83","20.74","","","","","","","4.9","","46.7","","","","13.08","","34.41","","",""
"7","2018-03-20 12:58:42","5","en","2018-03-20 12:56:59","2018-03-20 12:58:42","86.163.252.241","","Male","1974","Master's degree","","No","","Yes","","","True","Disagree","","","True","Agree","104.99","16.44","","","","","","","5.26","","37.77","","","","4.6","","40.92","","",""
"8","2018-03-20 13:17:08","5","en","2018-03-20 12:56:59","2018-03-20 13:17:08","213.205.194.148","","Male","1988","Bachelor's degree","","No","","Yes","","","True","Agree","","","False","Agree","1208.13","19.08","","","","","","","17.86","","1117.96","","","","32.75","","20.48","","",""
"9","2018-03-20 13:00:05","5","en","2018-03-20 12:57:04","2018-03-20 13:00:05","155.94.183.3","","Male","1987","Bachelor's degree","","Yes","I have taken some philosophy classes","Yes","","","True","Strongly agree","","","False","Agree","183.03","26.74","","","","","","","16.29","","127.37","","","","4.07","","8.56","","",""
"10","2018-03-20 12:59:07","5","en","2018-03-20 12:57:09","2018-03-20 12:59:07","99.72.175.202","","Female","1981","Other","Associates Degree","No","","Yes","","","True","Strongly agree","","","True","Strongly agree","119.21","23.36","","","","","","","26.77","","35.68","","","","5.99","","27.41","","",""
"11","2018-03-20 13:00:50","5","en","2018-03-20 12:57:59","2018-03-20 13:00:50","47.206.107.28","","Female","1989","Master's degree","","No","","Yes","","","True","Neutral","","","True","Agree","172.93","25.43","","","","","","","13.39","","72.49","","","","9.1","","52.52","","",""
"12","2018-03-20 13:00:54","5","en","2018-03-20 12:58:37","2018-03-20 13:00:54","136.56.36.111","","Female","1973","Bachelor's degree","","No","","Yes","","","True","Strongly disagree","","","True","Strongly agree","137.25","17.94","","","","","","","6.2","","70.34","","","","5.08","","37.69","","",""
"13","2018-03-20 13:03:47","5","en","2018-03-20 12:58:38","2018-03-20 13:03:47","173.69.14.45","","Male","1959","Master's degree","","No","","Yes","","","True","Neutral","","","True","Agree","309.2","53.06","","","","","","","8.84","","123.93","","","","4.84","","118.53","","",""
"14","2018-03-20 13:01:23","5","en","2018-03-20 12:59:14","2018-03-20 13:01:23","82.16.99.177","","Male","1993","Master's degree","","No","","Yes","","","True","Disagree","","","True","Disagree","129.39","20.2","","","","","","","4.74","","48.95","","","","3.11","","52.39","","",""
"15","2018-03-20 13:25:36","5","en","2018-03-20 13:24:07","2018-03-20 13:25:36","67.241.247.61","","Female","1975","Some College","","No","","Yes","","","True","Strongly agree","","","True","Strongly agree","91.97","24.69","","","","","","","6.06","","29.87","","","","5.5","","25.85","","",""
"16","2018-03-20 13:29:12","5","en","2018-03-20 13:25:33","2018-03-20 13:29:12","104.181.113.25","","Female","1979","Master's degree","","No","","Yes","","","True","Disagree","","","True","Agree","221.68","20.63","","","","","","","4.63","","106.81","","","","9.82","","79.79","","",""
"17","2018-03-20 13:33:17","5","en","2018-03-20 13:29:59","2018-03-20 13:33:17","92.233.163.58","","Female","1989","Bachelor's degree","","Yes","I have taken some philosophy classes","Yes","","","False","Neutral","","","True","Agree","126.87","48.06","","","","","","","4.87","","28.26","","","","2.47","","43.21","","",""
"18","2018-03-20 13:32:53","5","en","2018-03-20 13:31:57","2018-03-20 13:32:53","92.1.227.71","","Female","1968","High School/GED","","No","","Yes","","","True","Disagree","","","True","Strongly agree","47.77","15.91","","","","","","","2.01","","11.34","","","","2.71","","15.8","","",""
"19","2018-03-20 13:34:20","5","en","2018-03-20 13:32:49","2018-03-20 13:34:20","90.201.159.103","","Male","1975","Bachelor's degree","","No","","Yes","","","True","Agree","","","True","Agree","93.14","17.3","","","","","","","3.59","","44.01","","","","3.4","","24.84","","",""
"20","2018-03-20 13:34:24","5","en","2018-03-20 13:32:50","2018-03-20 13:34:24","174.124.12.27","","Male","1971","Bachelor's degree","","Yes","I have taken some philosophy classes","Yes","","","True","Neutral","","","True","Agree","95.46","24.57","","","","","","","5.8","","29.04","","","","4.66","","31.39","","",""
"21","2018-03-20 13:35:37","5","en","2018-03-20 13:33:21","2018-03-20 13:35:37","5.67.103.151","","Male","1991","Some College","","No","","Yes","","","True","Agree","","","True","Strongly agree","137.9","28.81","","","","","","","3.57","","56.88","","","","2.39","","46.25","","",""
"22","2018-03-20 13:35:54","5","en","2018-03-20 13:33:48","2018-03-20 13:35:54","73.212.8.140","","Female","1987","Bachelor's degree","","No","","Yes","","","True","Disagree","","","True","Strongly agree","126.96","19.05","","","","","","","8.08","","48.74","","","","7.01","","44.08","","",""
"23","2018-03-20 13:37:26","5","en","2018-03-20 13:35:15","2018-03-20 13:37:25","208.193.53.242","","Female","1973","Advanced Graduate work or Doctoral degree","","Yes","I have taken some philosophy classes","Yes","","","True","Agree","","","True","Agree","131.57","23.1","","","","","","","6.2","","49.44","","","","5.84","","46.99","","",""
"24","2018-03-20 13:39:12","5","en","2018-03-20 13:35:45","2018-03-20 13:39:12","208.255.153.188","","Male","1986","High School/GED","","No","","Yes","","","True","Agree","","","True","Agree","208.53","23.97","","","","","","","4.04","","51.17","","","","99.61","","29.74","","",""
"25","2018-03-20 13:51:54","5","en","2018-03-20 13:49:57","2018-03-20 13:51:54","83.100.247.158","","Male","1980","Some College","","No","","Yes","","","False","Strongly disagree","","","True","Disagree","116.98","15.74","","","","","","","4.2","","55.6","","","","4.16","","37.28","","",""
"26","2018-03-20 14:01:31","5","en","2018-03-20 13:57:27","2018-03-20 14:01:31","71.161.71.97","","Male","1978","Did not complete High School","","No","","Yes","","","True","Agree","","","True","Agree","246.49","44.82","","","","","","","8.59","","118.83","","","","3.91","","70.34","","",""
"27","2018-03-20 14:04:35","5","en","2018-03-20 14:02:29","2018-03-20 14:04:35","2.26.42.241","","Female","1994","Bachelor's degree","","Yes","I have taken some philosophy classes","Yes","","","True","Agree","","","True","Agree","129.21","38.79","","","","","","","6.52","","45.86","","","","4.06","","33.98","","",""
"28","2018-03-20 14:11:03","5","en","2018-03-20 14:03:59","2018-03-20 14:11:03","184.156.106.14","","Female","1994","Bachelor's degree","","Yes","I have taken some philosophy classes","Yes","","","True","Disagree","","","False","Agree","304.43","41.49","","","","","","","11.08","","86.81","","","","9.7","","155.35","","",""
"29","2018-03-20 14:06:33","5","en","2018-03-20 14:04:25","2018-03-20 14:06:33","2.31.34.247","","Female","1972","High School/GED","","No","","Yes","","","True","Agree","","","True","Strongly agree","131.1","22.62","","","","","","","7.56","","55.52","","","","5.82","","39.58","","",""
"30","2018-03-20 14:08:28","5","en","2018-03-20 14:05:25","2018-03-20 14:08:28","86.151.21.172","","Female","1960","Bachelor's degree","","No","","Yes","","","True","Disagree","","","True","Disagree","184.54","17.71","","","","","","","4.29","","102.9","","","","3.46","","56.18","","",""
"31","2018-03-20 14:16:24","5","en","2018-03-20 14:14:08","2018-03-20 14:16:24","10.40.21.149","","Female","1975","Bachelor's degree","","Yes","I have taken some philosophy classes","Yes","","","True","Agree","","","True","Agree","138.93","25.73","","","","","","","5.65","","51.22","","","","4.66","","51.67","","",""
"32","2018-03-20 14:16:53","5","en","2018-03-20 14:14:36","2018-03-20 14:16:53","70.170.46.222","","Male","1984","Some College","","No","","Yes","","","True","Strongly disagree","","","True","Agree","139.19","28.23","","","","","","","3.58","","61.26","","","","2.84","","43.28","","",""
"33","2018-03-20 14:21:55","5","en","2018-03-20 14:14:53","2018-03-20 14:21:55","146.66.61.131","","Female","1973","Bachelor's degree","","Yes","I have taken some philosophy classes","Yes","","","True","Disagree","","","True","Strongly disagree","424.22","25.64","","","","","","","4.97","","353.18","","","","3.66","","36.77","","",""
"34","2018-03-20 14:18:54","5","en","2018-03-20 14:16:07","2018-03-20 14:18:54","184.53.0.135","","Female","1951","Some College","","No","","Yes","","","True","Agree","","","True","Agree","168.28","31.05","","","","","","","13.26","","52.49","","","","9.41","","62.07","","",""
"35","2018-03-20 14:18:39","5","en","2018-03-20 14:16:34","2018-03-20 14:18:39","68.101.181.225","","Female","1983","Other","Associate degree","No","","Yes","","","True","Agree","","","True","Strongly agree","125.45","40.58","","","","","","","8.33","","33.2","","","","6.29","","37.05","","",""
"36","2018-03-20 14:19:51","5","en","2018-03-20 14:17:04","2018-03-20 14:19:51","71.82.184.162","","Female","1991","High School/GED","","No","","Yes","","","True","Agree","","","True","Strongly agree","169.55","32.77","","","","","","","9.33","","64.75","","","","9.15","","53.55","","",""
"37","2018-03-20 14:19:06","5","en","2018-03-20 14:17:11","2018-03-20 14:19:06","73.194.223.39","","Male","1977","Some College","","No","","Yes","","","True","Strongly agree","","","True","Strongly agree","116.63","17.58","","","","","","","9.32","","51.18","","","","5.3","","33.25","","",""
"38","2018-03-20 14:20:16","5","en","2018-03-20 14:17:32","2018-03-20 14:20:16","194.82.215.10","","Male","1971","Bachelor's degree","","No","","Yes","","","True","Agree","","","True","Agree","165.52","18.17","","","","","","","3.99","","31.14","","","","8.62","","103.6","","",""
"39","2018-03-20 14:20:23","5","en","2018-03-20 14:17:38","2018-03-20 14:20:23","74.142.115.78","","Female","1964","Bachelor's degree","","Yes","I have taken some philosophy classes","Yes","","","True","Agree","","","True","Strongly agree","166.98","29.28","","","","","","","7.93","","56.61","","","","6.57","","66.59","","",""
"40","2018-03-20 14:40:19","5","en","2018-03-20 14:37:17","2018-03-20 14:40:19","78.145.103.95","","Male","1965","Other","HND","No","","Yes","","","True","Disagree","","","True","Agree","184.38","62.44","","","","","","","19.51","","56.23","","","","3.72","","42.48","","",""
"41","2018-03-20 14:41:35","5","en","2018-03-20 14:39:51","2018-03-20 14:41:35","104.35.170.65","","Female","1964","High School/GED","","No","","Yes","","","True","Disagree","","","True","Agree","105.93","15.01","","","","","","","7.37","","42.68","","","","3.93","","36.94","","",""
"42","2018-03-20 14:42:23","5","en","2018-03-20 14:40:05","2018-03-20 14:42:23","74.129.144.88","","Female","1991","Some College","","No","","Yes","","","True","Strongly agree","","","True","Neutral","140.62","28.11","","","","","","","6.79","","46.87","","","","5.81","","53.04","","",""
"43","2018-03-20 14:42:42","5","en","2018-03-20 14:40:51","2018-03-20 14:42:42","50.233.248.126","","Female","1972","Some College","","No","","Yes","","","True","Strongly disagree","","","True","Strongly agree","113.26","19.19","","","","","","","7.06","","52.58","","","","4.55","","29.88","","",""
"44","2018-03-20 14:45:00","5","en","2018-03-20 14:41:16","2018-03-20 14:45:00","2.221.131.36","","Male","1968","High School/GED","","No","","Yes","","","True","Disagree","","","True","Disagree","225.19","31.99","","","","","","","4.55","","105.9","","","","4.34","","78.41","","",""
"45","2018-03-20 14:43:30","5","en","2018-03-20 14:41:31","2018-03-20 14:43:30","64.130.146.38","","Female","1998","High School/GED","","No","","Yes","","","True","Neutral","","","False","Agree","121.08","17.92","","","","","","","4.62","","44.83","","","","5.16","","48.55","","",""
"46","2018-03-20 15:06:54","5","en","2018-03-20 15:04:50","2018-03-20 15:06:50","86.166.192.234","","Female","1994","Did not complete High School","","No","","Yes","","","True","Disagree","","","True","Strongly agree","116.38","18.92","","","","","","","10.59","","44.18","","","","6.58","","36.11","","",""
"47","2018-03-20 15:06:39","5","en","2018-03-20 15:04:52","2018-03-20 15:06:30","69.43.66.17","","Female","1997","Some College","","No","","Yes","","","True","Strongly agree","","","True","Strongly agree","95.59","16.14","","","","","","","9.14","","30.84","","","","6.68","","32.79","","",""
"48","2018-03-20 15:06:24","5","en","2018-03-20 15:04:56","2018-03-20 15:06:22","172.72.42.234","","Female","1972","Bachelor's degree","","No","","Yes","","","False","Neutral","","","False","Neutral","79.04","22.56","","","","","","","5.83","","24.04","","","","6.68","","19.93","","",""
"49","2018-03-20 15:12:25","5","en","2018-03-20 15:07:14","2018-03-20 15:12:25","107.192.239.183","","Female","1996","Some College","","No","","Yes","","","True","Disagree","","","True","Strongly agree","313.7","18.82","","","","","","","5.48","","118.18","","","","3.7","","167.52","","",""
"50","2018-03-20 15:19:51","5","en","2018-03-20 15:17:23","2018-03-20 15:19:51","108.17.154.4","","Female","1976","Other","Trade School","No","","Yes","","","True","Neutral","","","True","Strongly agree","150.7","31.63","","","","","","","11.53","","61.08","","","","10.54","","35.92","","",""
"51","2018-03-20 15:19:42","5","en","2018-03-20 15:17:39","2018-03-20 15:19:42","69.121.197.124","","Female","1956","Bachelor's degree","","Yes","I have taken some philosophy classes","Yes","","","True","Agree","","","True","Strongly agree","124.32","34.18","","","","","","","8.13","","42.08","","","","8.34","","31.59","","",""
"52","2018-03-20 15:31:00","5","en","2018-03-20 15:28:15","2018-03-20 15:31:00","86.154.152.122","","Male","1965","Bachelor's degree","","No","","Yes","","","True","Strongly agree","","","True","Strongly agree","167.16","29.2","","","","","","","7.39","","54.49","","","","6.78","","69.3","","",""
"53","2018-03-20 15:30:06","5","en","2018-03-20 15:28:35","2018-03-20 15:30:06","68.101.71.109","","Male","1988","Some College","","Yes","I have taken some philosophy classes","Yes","","","True","Neutral","","","True","Neutral","93.26","24.7","","","","","","","5.58","","32.68","","","","5.02","","25.28","","",""
"54","2018-03-20 15:33:41","5","en","2018-03-20 15:30:08","2018-03-20 15:33:41","104.13.98.37","","Female","1998","High School/GED","","No","","Yes","","","True","Agree","","","True","Strongly agree","215.46","20.82","","","","","","","9.43","","81.33","","","","6.21","","97.67","","",""
"55","2018-03-20 15:45:32","5","en","2018-03-20 15:44:12","2018-03-20 15:45:32","107.77.111.114","","Male","31","Bachelor's degree","","No","","No","","","True","Neutral","","","True","Neutral","80.09","21.11","","","","","","","18.97","","16.6","","","","14.62","","8.79","","",""
"56","2018-03-20 15:47:32","5","en","2018-03-20 15:44:58","2018-03-20 15:47:32","50.110.99.202","","Female","1952","High School/GED","","No","","Yes","","","True","Agree","","","True","Strongly agree","155.7","23.18","","","","","","","7.18","","84.94","","","","7.52","","32.88","","",""
"57","2018-03-20 15:48:37","5","en","2018-03-20 15:45:09","2018-03-20 15:48:37","108.65.121.40","","Female","1977","High School/GED","","No","","Yes","","","True","Agree","","","True","Agree","207.87","21.9","","","","","","","17.4","","70.98","","","","13.79","","83.8","","",""
"58","2018-03-20 15:47:04","5","en","2018-03-20 15:45:11","2018-03-20 15:47:04","129.237.93.212","","Male","1983","Bachelor's degree","","No","","Yes","","","True","Disagree","","","True","Agree","115.14","16.63","","","","","","","5.57","","45.37","","","","3.75","","43.82","","",""
"59","2018-03-20 15:49:12","5","en","2018-03-20 15:47:25","2018-03-20 15:49:12","24.119.133.138","","Female","1994","Some College","","No","","Yes","","","True","Disagree","","","True","Strongly agree","108.9","25.53","","","","","","","6.58","","43.79","","","","4.29","","28.71","","",""
"60","2018-03-20 15:49:41","5","en","2018-03-20 15:47:37","2018-03-20 15:49:41","73.58.155.173","","Female","1982","Master's degree","","Yes","I have taken some philosophy classes","Yes","","","True","Agree","","","True","Strongly agree","126.54","28.65","","","","","","","7.54","","46.27","","","","3.76","","40.32","","",""

